date,source,medium,market,device_category,sessions,users,new_users,engaged_sessions,engagement_rate,avg_session_duration,events,conversions,total_revenue,bounce_rate
2024-07-01,google,organic,US,desktop,2099,1782,866,1443,0.688,178.0,7216,66,8538.41,0.295
2024-07-01,google,organic,US,mobile,2378,1773,1072,1570,0.661,181.4,9287,82,10279.95,0.353
2024-07-01,google,organic,US,tablet,439,362,216,275,0.628,170.2,1733,15,2103.36,0.429
2024-07-01,direct,(none),US,desktop,954,723,435,626,0.656,160.6,3772,37,5582.22,0.296
2024-07-01,direct,(none),US,mobile,1741,1360,943,1148,0.66,167.7,7141,69,8884.93,0.375
2024-07-01,direct,(none),US,tablet,380,317,180,294,0.774,159.1,1334,14,2334.39,0.222
2024-07-01,newsletter,email,US,desktop,444,356,233,245,0.553,228.9,1402,22,3626.07,0.489
2024-07-01,newsletter,email,US,mobile,769,610,419,485,0.631,178.2,2541,35,5015.52,0.38
2024-07-01,newsletter,email,US,tablet,135,107,61,82,0.61,132.0,422,6,979.34,0.404
2024-07-01,google,organic,UK,desktop,972,846,561,633,0.652,201.2,3131,28,4258.31,0.334
2024-07-01,google,organic,UK,mobile,1415,1141,724,842,0.595,167.0,5985,41,4763.71,0.356
2024-07-01,google,organic,UK,tablet,354,280,191,211,0.596,188.7,1500,9,1212.92,0.358
2024-07-01,referral,referral,FR,desktop,347,281,179,188,0.542,166.2,1224,5,545.69,0.453
2024-07-01,referral,referral,FR,mobile,465,362,224,255,0.55,136.5,1745,7,839.04,0.475
2024-07-01,referral,referral,FR,tablet,71,58,38,37,0.522,125.4,271,1,119.64,0.478
2024-07-01,direct,(none),DE,desktop,192,167,115,94,0.49,166.9,612,4,474.44,0.524
2024-07-01,direct,(none),DE,mobile,340,286,198,209,0.617,185.4,1419,8,937.7,0.324
2024-07-01,direct,(none),DE,tablet,67,53,43,39,0.588,182.4,261,1,123.44,0.413
2024-07-02,google,organic,US,desktop,1687,1428,874,1111,0.659,219.3,5800,57,9477.24,0.354
2024-07-02,google,organic,US,mobile,2584,2150,1354,1548,0.599,217.1,8506,112,15066.18,0.469
2024-07-02,google,organic,US,tablet,418,351,240,283,0.677,206.1,1469,12,1673.16,0.329
2024-07-02,direct,(none),US,desktop,1156,937,634,794,0.687,190.7,4162,45,7414.36,0.293
2024-07-02,direct,(none),US,mobile,1820,1461,1070,1323,0.727,194.3,6533,75,11579.54,0.279
2024-07-02,direct,(none),US,tablet,337,287,183,221,0.659,254.1,1206,16,2758.71,0.367
2024-07-02,newsletter,email,US,desktop,410,332,196,261,0.638,157.0,1478,19,3013.87,0.343
2024-07-02,newsletter,email,US,mobile,770,645,436,437,0.568,208.7,2716,42,6779.79,0.474
2024-07-02,newsletter,email,US,tablet,118,94,68,75,0.644,222.1,474,5,767.56,0.365
2024-07-02,google,organic,UK,desktop,873,711,485,488,0.559,181.0,3364,25,3343.09,0.393
2024-07-02,google,organic,UK,mobile,1397,1175,775,880,0.631,165.2,5178,32,4441.55,0.423
2024-07-02,google,organic,UK,tablet,244,186,127,162,0.666,179.9,791,7,835.02,0.316
2024-07-02,referral,referral,FR,desktop,269,205,126,148,0.552,185.8,853,5,533.19,0.474
2024-07-02,referral,referral,FR,mobile,481,374,258,253,0.527,215.7,1637,9,975.14,0.435
2024-07-02,referral,referral,FR,tablet,88,68,38,41,0.471,156.4,370,1,103.68,0.513
2024-07-02,direct,(none),DE,desktop,198,147,89,124,0.629,193.6,752,4,483.87,0.302
2024-07-02,direct,(none),DE,mobile,363,294,173,235,0.648,131.5,1414,9,972.89,0.35
2024-07-02,direct,(none),DE,tablet,48,32,19,27,0.582,197.4,178,1,110.26,0.401
2024-07-03,google,organic,US,desktop,1556,1168,734,1015,0.652,164.5,5570,58,7794.71,0.31
2024-07-03,google,organic,US,mobile,2940,2383,1614,1970,0.67,192.3,10909,127,15952.26,0.314
2024-07-03,google,organic,US,tablet,558,449,314,365,0.656,217.1,1856,22,3368.53,0.311
2024-07-03,direct,(none),US,desktop,1319,1052,660,860,0.652,152.7,5225,59,8990.84,0.371
2024-07-03,direct,(none),US,mobile,2146,1730,1075,1579,0.736,193.1,8475,97,13396.59,0.253
2024-07-03,direct,(none),US,tablet,270,224,145,198,0.736,140.2,1138,9,1481.44,0.267
2024-07-03,newsletter,email,US,desktop,411,324,202,253,0.618,180.3,1327,18,2909.57,0.41
2024-07-03,newsletter,email,US,mobile,612,476,314,370,0.605,143.0,2378,28,4363.72,0.458
2024-07-03,newsletter,email,US,tablet,117,97,67,63,0.546,130.2,468,5,693.49,0.492
2024-07-03,google,organic,UK,desktop,861,662,505,489,0.569,146.1,3039,25,3017.63,0.391
2024-07-03,google,organic,UK,mobile,1821,1475,1019,1121,0.616,187.8,7366,49,6504.96,0.406
2024-07-03,google,organic,UK,tablet,332,291,193,217,0.655,107.9,1419,9,1147.43,0.357
2024-07-03,referral,referral,FR,desktop,275,222,165,148,0.539,150.7,1202,5,634.58,0.492
2024-07-03,referral,referral,FR,mobile,370,305,185,203,0.55,178.0,1147,6,776.43,0.458
2024-07-03,referral,referral,FR,tablet,78,68,43,42,0.547,206.8,277,1,90.17,0.419
2024-07-03,direct,(none),DE,desktop,186,149,93,123,0.665,151.4,784,4,510.98,0.355
2024-07-03,direct,(none),DE,mobile,242,193,124,136,0.566,192.4,1049,4,459.48,0.391
2024-07-03,direct,(none),DE,tablet,60,47,29,37,0.621,224.2,281,1,102.52,0.396
2024-07-04,google,organic,US,desktop,2092,1741,1296,1344,0.643,163.5,7829,70,10319.87,0.385
2024-07-04,google,organic,US,mobile,3102,2544,1712,2096,0.676,127.0,11719,109,15520.13,0.322
2024-07-04,google,organic,US,tablet,527,409,294,350,0.665,184.1,1813,19,2703.98,0.314
2024-07-04,direct,(none),US,desktop,1219,1005,692,899,0.738,182.5,4972,57,9356.14,0.25
2024-07-04,direct,(none),US,mobile,1684,1310,999,1229,0.73,237.4,6155,68,10477.56,0.268
2024-07-04,direct,(none),US,tablet,318,239,164,241,0.758,246.0,1125,12,1745.24,0.264
2024-07-04,newsletter,email,US,desktop,462,353,216,280,0.608,190.3,1839,20,2719.3,0.365
2024-07-04,newsletter,email,US,mobile,716,633,403,462,0.646,202.4,2280,35,5987.06,0.285
2024-07-04,newsletter,email,US,tablet,129,109,74,74,0.578,175.3,466,5,756.0,0.408
2024-07-04,google,organic,UK,desktop,995,773,474,640,0.644,190.0,3482,31,3883.9,0.358
2024-07-04,google,organic,UK,mobile,1723,1336,799,1060,0.616,143.2,6198,50,5218.88,0.401
2024-07-04,google,organic,UK,tablet,274,232,155,176,0.643,212.1,1000,8,909.08,0.393
2024-07-04,referral,referral,FR,desktop,275,208,145,134,0.49,168.4,1109,5,518.41,0.493
2024-07-04,referral,referral,FR,mobile,334,276,180,181,0.543,172.7,1237,7,766.79,0.408
2024-07-04,referral,referral,FR,tablet,85,69,46,49,0.58,180.8,349,1,115.12,0.395
2024-07-04,direct,(none),DE,desktop,207,175,101,121,0.588,170.7,699,5,618.09,0.388
2024-07-04,direct,(none),DE,mobile,354,280,171,204,0.579,191.8,1432,8,1001.81,0.475
2024-07-04,direct,(none),DE,tablet,51,41,28,30,0.597,213.4,230,1,117.76,0.434
2024-07-05,google,organic,US,desktop,1932,1350,890,1231,0.637,190.7,7009,67,8732.25,0.384
2024-07-05,google,organic,US,mobile,3305,2531,1483,2150,0.651,179.2,13660,101,13531.47,0.289
2024-07-05,google,organic,US,tablet,584,473,300,354,0.607,146.8,2250,18,2540.97,0.457
2024-07-05,direct,(none),US,desktop,1177,896,609,795,0.676,226.4,4966,48,6905.93,0.313
2024-07-05,direct,(none),US,mobile,1862,1518,1085,1271,0.683,207.3,7314,74,10472.83,0.32
2024-07-05,direct,(none),US,tablet,306,257,154,226,0.74,177.8,1068,12,2020.7,0.235
2024-07-05,newsletter,email,US,desktop,400,307,201,224,0.56,132.3,1323,22,3589.48,0.447
2024-07-05,newsletter,email,US,mobile,639,509,324,380,0.595,182.7,2087,31,3984.37,0.418
2024-07-05,newsletter,email,US,tablet,99,78,46,57,0.58,195.6,421,4,689.94,0.424
2024-07-05,google,organic,UK,desktop,929,771,499,596,0.642,153.2,3219,30,4363.44,0.357
2024-07-05,google,organic,UK,mobile,1027,813,537,629,0.613,189.1,3618,33,3889.58,0.426
2024-07-05,google,organic,UK,tablet,333,254,155,210,0.633,147.9,1171,11,1514.38,0.425
2024-07-05,referral,referral,FR,desktop,286,221,146,156,0.546,176.3,1055,5,562.42,0.403
2024-07-05,referral,referral,FR,mobile,403,320,173,230,0.571,124.6,1590,7,745.06,0.447
2024-07-05,referral,referral,FR,tablet,101,81,44,58,0.576,173.7,376,2,180.83,0.424
2024-07-05,direct,(none),DE,desktop,200,169,118,110,0.551,214.1,773,4,482.14,0.486
2024-07-05,direct,(none),DE,mobile,282,241,139,162,0.576,154.5,1187,6,653.02,0.439
2024-07-05,direct,(none),DE,tablet,64,52,33,38,0.608,162.4,276,1,130.4,0.417
2024-07-06,google,organic,US,desktop,1399,1049,727,914,0.654,214.1,5594,51,6177.97,0.344
2024-07-06,google,organic,US,mobile,1931,1564,997,1237,0.641,192.4,6835,68,8362.82,0.335
2024-07-06,google,organic,US,tablet,405,304,220,276,0.682,172.8,1947,15,1940.52,0.337
2024-07-06,direct,(none),US,desktop,929,714,430,702,0.756,163.9,3402,35,5100.3,0.242
2024-07-06,direct,(none),US,mobile,1516,1055,697,1050,0.693,217.9,7259,61,8152.31,0.31
2024-07-06,direct,(none),US,tablet,256,224,167,192,0.751,164.2,1011,11,1737.92,0.218
2024-07-06,newsletter,email,US,desktop,356,286,187,200,0.563,158.6,1358,14,2381.48,0.401
2024-07-06,newsletter,email,US,mobile,374,326,200,209,0.559,210.6,1640,15,2216.42,0.41
2024-07-06,newsletter,email,US,tablet,100,86,51,62,0.621,160.9,382,4,633.76,0.376
2024-07-06,google,organic,UK,desktop,709,578,350,420,0.593,191.8,2975,21,2840.0,0.432
2024-07-06,google,organic,UK,mobile,1274,970,600,762,0.599,232.1,4953,39,5218.55,0.359
2024-07-06,google,organic,UK,tablet,259,212,148,146,0.565,201.1,924,6,720.49,0.391
2024-07-06,referral,referral,FR,desktop,178,142,90,99,0.559,225.3,650,2,215.74,0.483
