date,campaign_id,campaign_name,campaign_type,market,device,impressions,clicks,cost,conversions,conversion_value,search_impression_share
2024-07-01,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1373,117,139.07,8.3,1180.96,0.71
2024-07-01,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2478,189,245.34,12.1,1689.45,0.69
2024-07-01,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,589,39,38.59,2.2,293.15,0.74
2024-07-01,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,946,38,93.56,0.9,108.58,0.64
2024-07-01,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1743,54,154.22,1.4,159.93,0.7
2024-07-01,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,228,8,27.83,0.2,25.58,0.65
2024-07-01,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,11339,118,80.72,3.9,557.6,
2024-07-01,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,12888,150,126.29,3.9,496.18,
2024-07-01,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,1772,22,21.26,0.6,83.1,
2024-07-01,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,841,67,60.09,4.1,572.71,0.67
2024-07-01,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1178,97,95.33,5.0,640.35,0.66
2024-07-01,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,176,15,15.42,0.8,112.35,0.74
2024-07-01,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,656,53,38.75,2.4,310.55,0.57
2024-07-01,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1502,102,72.51,4.6,444.89,0.71
2024-07-01,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,225,15,12.51,0.6,66.23,0.77
2024-07-01,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,713,30,43.66,0.9,121.22,0.68
2024-07-01,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,1259,43,63.4,1.3,165.89,0.72
2024-07-01,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,234,9,11.66,0.3,35.09,0.71
2024-07-01,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1621,33,44.04,1.0,139.17,
2024-07-01,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,2286,46,50.8,1.7,234.34,
2024-07-01,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,622,11,12.43,0.4,59.37,
2024-07-01,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,9822,56,22.99,0.8,92.13,
2024-07-01,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,21624,102,41.67,1.9,200.58,
2024-07-01,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2237,10,4.88,0.2,20.38,
2024-07-02,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1808,140,155.77,9.2,1202.64,0.73
2024-07-02,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2908,237,238.77,14.7,2264.82,0.65
2024-07-02,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,303,25,31.58,1.5,223.53,0.68
2024-07-02,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1138,37,108.0,1.1,137.0,0.65
2024-07-02,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1854,70,178.13,2.0,224.24,0.78
2024-07-02,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,240,10,31.51,0.2,22.55,0.67
2024-07-02,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,6769,84,71.09,2.8,403.01,
2024-07-02,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,10871,127,124.03,5.4,765.49,
2024-07-02,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2066,26,20.2,0.8,114.17,
2024-07-02,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,1019,70,66.63,3.2,401.14,0.77
2024-07-02,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1598,122,101.62,7.0,845.66,0.73
2024-07-02,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,270,21,18.14,1.2,169.52,0.78
2024-07-02,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,747,55,35.08,2.6,311.32,0.94
2024-07-02,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1173,90,70.57,4.4,493.24,0.76
2024-07-02,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,225,15,10.89,0.7,95.41,0.61
2024-07-02,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,944,36,45.49,1.2,150.77,0.66
2024-07-02,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,997,37,60.38,1.1,138.0,0.68
2024-07-02,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,282,9,15.1,0.3,35.51,0.77
2024-07-02,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1618,34,38.03,1.1,139.21,
2024-07-02,gads_pmax_us_007,US - PMax - All Products,PMax,US,mobile,3209,60,63.4,2.0,289.07,
2024-07-02,gads_pmax_us_007,US - PMax - All Products,PMax,US,tablet,329,8,10.19,0.3,36.89,
2024-07-02,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,desktop,8394,39,19.79,0.7,81.77,
2024-07-02,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,mobile,19234,65,29.35,1.0,107.78,
2024-07-02,gads_display_retargeting_uk_008,UK - Display - Retargeting,Display,UK,tablet,2100,9,5.11,0.2,22.23,
2024-07-03,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,desktop,1679,150,154.17,9.0,1202.53,0.75
2024-07-03,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,mobile,2321,187,211.48,10.7,1565.59,0.76
2024-07-03,gads_search_brand_us_001,US - Search - Brand - Core,Search,US,tablet,432,42,44.7,1.9,272.15,0.75
2024-07-03,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,desktop,1196,41,108.7,1.0,114.34,0.77
2024-07-03,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,mobile,1730,66,172.31,1.7,217.27,0.76
2024-07-03,gads_search_nonbrand_us_002,US - Search - Non-Brand - Generic,Search,US,tablet,265,10,27.05,0.3,35.94,0.73
2024-07-03,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,desktop,8928,113,90.95,3.5,464.27,
2024-07-03,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,mobile,11713,152,140.27,5.6,757.27,
2024-07-03,gads_shopping_us_003,US - Shopping - Smart,Shopping,US,tablet,2340,29,24.38,0.9,122.44,
2024-07-03,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,desktop,849,77,67.6,3.7,434.28,0.79
2024-07-03,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,mobile,1342,107,108.56,5.9,711.94,0.72
2024-07-03,gads_search_brand_uk_004,UK - Search - Brand,Search,UK,tablet,202,15,16.56,0.7,88.66,0.74
2024-07-03,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,desktop,850,61,39.21,2.8,308.94,0.69
2024-07-03,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,mobile,1878,113,67.93,4.6,519.97,0.74
2024-07-03,gads_search_brand_fr_005,FR - Search - Brand,Search,FR,tablet,261,18,14.14,0.8,84.62,0.72
2024-07-03,gads_search_generic_de_006,DE - Search - Generic,Search,DE,desktop,708,26,40.6,0.8,112.26,0.71
2024-07-03,gads_search_generic_de_006,DE - Search - Generic,Search,DE,mobile,1119,43,69.28,1.3,162.66,0.73
2024-07-03,gads_search_generic_de_006,DE - Search - Generic,Search,DE,tablet,166,7,10.9,0.2,26.92,0.84
2024-07-03,gads_pmax_us_007,US - PMax - All Products,PMax,US,desktop,1522,31,38.19,1.1,144.04,
