date,campaign_id,campaign_name,objective,placement,market,device,impressions,reach,clicks,link_clicks,cost,purchases,purchase_value,add_to_cart,landing_page_views,frequency
2024-07-01,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,desktop,7536,4640,177,122,79.69,2.5,306.38,8,102,1.62
2024-07-01,meta_conv_prospecting_us_001,US - Conversions - Prospecting - LAL,Conversions,Feed,US,mobile,18408,9106,357,231,261.15,4.6,586.12,16,194,2.02
2024-07-01,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,desktop,4011,1567,130,93,77.07,3.5,489.14,15,75,2.56
2024-07-01,meta_conv_retargeting_us_002,US - Conversions - Retargeting - DPA,Conversions,Feed,US,mobile,10377,4187,434,254,192.78,12.2,1752.41,39,210,2.48
2024-07-01,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,desktop,5400,3940,87,69,49.72,1.6,177.17,5,59,1.37
2024-07-01,meta_conv_prospecting_uk_003,UK - Conversions - Prospecting,Conversions,Feed,UK,mobile,14127,8541,340,211,130.32,4.5,494.79,16,180,1.65
2024-07-01,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,desktop,4579,3585,137,87,31.26,0.5,49.05,1,70,1.28
2024-07-01,meta_traffic_awareness_fr_004,FR - Traffic - Awareness,Traffic,Stories,FR,mobile,18912,14707,662,389,101.42,3.1,333.22,11,332,1.29
2024-07-01,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,desktop,2609,1724,72,44,31.29,1.3,160.1,3,38,1.51
2024-07-01,meta_reels_conv_us_005,US - Reels - Conversions,Conversions,Reels,US,mobile,7327,5299,217,130,94.81,3.6,434.04,9,113,1.38
2024-07-01,meta_conv_prospecting_de_006,DE - Conversions - Prospecting,Conversions,Feed,DE,desktop,2687,1975,47,32,21.75,0.5,59.73,2,28,1.36
